product,plan_or_item,billing_basis,listed_price_inr,user_limit_or_range,commercial_status,conditions
ZeaCRM,Starter,per_month,10000,Up to 5 users,listed,"Core CRM plan; includes 5 workflow automations. Setup and implementation are separate. GST extra as applicable."
ZeaCRM,Pro,per_month,19999,Up to 15 users,listed,"Includes 10 advanced workflow automations. Setup and implementation are separate. GST extra as applicable."
ZeaCRM,Enterprise,quote_required,,Custom requirements,quote_required,"For larger organizations, custom user requirements, advanced customization, custom modules, or integrations."
Zea Voice,Voice usage,per_minute,7.20,,listed,"Setup and implementation are separate and scope-dependent. GST extra as applicable."
Zea Play,Standard launch user rate,per_user_per_month,99,Up to 25 users,listed,"Applies for the first 3 months only."
Zea Play,Standard ongoing user rate,per_user_per_month,209,Up to 25 users,listed,"Applies after the first 3 months."
Zea Play,Standard platform fee,per_month,1000,Up to 25 users,listed,"Applies with the selected plan."
Zea Play,Professional launch user rate,per_user_per_month,99,25 to 50 users,listed,"Applies for the first 3 months only."
Zea Play,Professional ongoing user rate,per_user_per_month,179,25 to 50 users,listed,"Applies after the first 3 months."
Zea Play,Professional platform fee,per_month,2000,25 to 50 users,listed,"Applies with the selected plan."
Zea Play,Enterprise launch user rate,per_user_per_month,99,50+ users,listed,"Applies for the first 3 months only."
Zea Play,Enterprise ongoing user rate,per_user_per_month,159,50+ users,listed,"Applies after the first 3 months."
Zea Play,Enterprise platform fee,per_month,3000,50+ users,listed,"Applies with the selected plan."
Zea Brain,All commercial plans,quote_required,,Requirement-based,quote_required,"Pricing depends on knowledge sources, integrations, users, implementation scope, and customization."
WhatsApp Business API,Add-on,per_month,2000,,listed,"Meta-related usage charges are additional."
Custom development or feature enhancement,Add-on,quote_required,,Requirement-based,quote_required,"Commercial scope must be reviewed and approved."
API integration,Add-on,quote_required,,Requirement-based,quote_required,"Commercial scope must be reviewed and approved."
